id	text	creation_time	user_loc
786588110851182593	Support for #marijuana legalization rises among U.S. adults: poll https://t.co/PBgzMnIZ7h #Cannabis #LegalizeIt #pharma	Thu Oct 13 15:23:14 +0000 2016	Vancouver, BC, Canada
786556336603406338	#Thurds Like many her age, she wanted cheap, legal marijuana, but the vote gerrymandering meant to achieve that end also triggered a loss.	Thu Oct 13 13:16:58 +0000 2016	Toronto, Canada
786375802979889152	Will you smoke pot when it becomes legal? cdnpoli https://t.co/FWhihIP2G8	Thu Oct 13 01:19:36 +0000 2016	Montreal, QC
786363748969684992	* @Global_Montreal No, but I am in favor of the full legalization of #marijuana for those who do smoke it, especially for medical purposes.	Thu Oct 13 00:31:42 +0000 2016	Soviet Canuckistan
786319334914322432	Cannabis conversations are important as we move forward with legalization.	Wed Oct 12 21:35:13 +0000 2016	Soviet Canuckistan
786287689972736001	@eye_on_CBs Minimum age for legal marijuana should be 25, according to Ottawa Public Health https://t.co/yXe3WSf650	Wed Oct 12 19:29:28 +0000 2016	Halifax, Nova Scotia
786279871265640452	Funky video by my colleague @yeshe on the future of medicinal pot for our Canada-with-legal-weed series. #ocannabis https://t.co/kGvE1idcPW https://t.co/Rsb85HE1ty	Wed Oct 12 18:58:24 +0000 2016	Vancouver
786252440005857280	My #OCannabis contributions include how legalization might crush small growers &amp; what US investors see in Canada: https://t.co/M0SJTBYbg2	Wed Oct 12 17:09:24 +0000 2016	Vancouver, BC
786251807454482432	#OCannabis, a @nationalpost series, is here. @PostmediaNews reporters probed what legalization means for the nation. https://t.co/X8emDow9gf	Wed Oct 12 17:06:53 +0000 2016	Vancouver, BC
786249832767721472	Like pot? Hate pot? Regardless, it will be legal soon in Canada. Find out what you need to know. #OCannabis https://t.co/kGvE1idcPW	Wed Oct 12 16:59:02 +0000 2016	Vancouver
786189051543949313	If "legal" pot in Cnd only available to 25+? Guarantees black market. so MJ arrests, prison sentences, will continue apace.	Wed Oct 12 12:57:31 +0000 2016	Moscow, Russia
785963153095925760	Shots fired at legal marijuana grow operation in Uxbridge, Ontario https://t.co/a1SvC4sWDT via @metronews	Tue Oct 11 21:59:52 +0000 2016	Kawartha Lakes
785681669151870977	@jssgriffi hey we have a PM who promised to legalize weed, he's taking his time on that one lol	Tue Oct 11 03:21:21 +0000 2016	Brampton, Ontario
785466899438063616	Yo @TorontoPolice you need to get your act together. Charging dispensaries? Possession? For Marijuana? When yall know it bout to be legal.	Mon Oct 10 13:07:56 +0000 2016	Toronto Canada
785409957126508544	How will legal pot be sold? Three things that might happen, and one that won't https://t.co/WBNGFkeP4c #cdnpoli #bcpoli #vanpoli	Mon Oct 10 09:21:40 +0000 2016	Vancouver, BC
785337918680334336	@eye_on_CBs How will legal pot be sold? Three things that might happen, and one that won’t https://t.co/9UPREBXPbj	Mon Oct 10 04:35:25 +0000 2016	Halifax, Nova Scotia
785088828885184513	How will legal pot be sold? Three things that might happen, and one that won't https://t.co/AZ4txhA2Wu	Sun Oct 09 12:05:37 +0000 2016	Montreal, QC
785088819850731521	How will legal pot be sold? Three things that might happen, and one that won't https://t.co/uYAbfJwBEs	Sun Oct 09 12:05:35 +0000 2016	Edmonton, AB
785084668148187136	How will legal pot be sold? Three things that might happen, and one that won't https://t.co/gLYGR7BRx1	Sun Oct 09 11:49:05 +0000 2016	Calgary, AB
785015471493959683	MWUSCA - Has Colorado teen marijuana use not increased since legalization? - We should also note that the anti-pot… https://t.co/yoaQZrcAwX	Sun Oct 09 07:14:07 +0000 2016	America | United Kindom
784918711949942784	MWUSCA - Has Colorado teen marijuana use not increased since legalization? - We should also note that the anti-pot… https://t.co/5w4WaIAvBC	Sun Oct 09 00:49:38 +0000 2016	America | United Kindom
784570602841669633	@respectinc @KevinDarryl The #Libertarian Party is hurting the #Cannabis legalization cause Voting #ThirdParty will only enthrone #Trump	Sat Oct 08 01:46:22 +0000 2016	Toronto, Ontario
858509738807635970	@Lafond66 It will be legal in Canada by next summer https://t.co/JMNUZCp8dA ... so weird that it's so taboo in USA	Sun Apr 30 02:34:06 +0000 2017	Canada
858420144141459457	when weed becomes legal there's going to be so many confused german shepards	Sat Apr 29 20:38:05 +0000 2017	716
858134095574032385	@McLovin_Yeg Lol, and keep busting pot dispensaries even tho you're going to make it legal	Sat Apr 29 01:41:26 +0000 2017	Canada
857929780825440256	Canada's justice system is unequal, and legal pot isn't helping, writes Supriya Dwivedi https://t.co/1ggobmxr9r	Fri Apr 28 12:09:33 +0000 2017	Edmonton, AB
857622018207825920	Where medical marijuana is legal, illegal use climbs https://t.co/U62cHF0yNx #cannabis #teenhealth #pharma	Thu Apr 27 15:46:37 +0000 2017	Vancouver, BC, Canada
857617153482145792	Honoured to have my father present at the Alberta Chiefs meeting about legalization of marijuana and concerns for Police in the workplace https://t.co/ABTYcPkdHh	Thu Apr 27 15:27:17 +0000 2017	Medicine Hat, AB
857348378203635712	When will weed legalization take place? #legalize #420 #hightimes https://t.co/iWguJ0PACC	Wed Apr 26 21:39:16 +0000 2017	Vancouver BC
857317876616843265	My people know how to grow the BEST cannabis. There better be some Black runned LPs there when it becomes legal man lol	Wed Apr 26 19:38:04 +0000 2017	Toronto, Ontario
857249693000122372	Accuracy of pot impairment tests questioned ahead of legalization #cdnpoli https://t.co/90L6PtSdyx	Wed Apr 26 15:07:08 +0000 2017	Calgary #yyc #yyccentre
857241531996045312	This is true. If the gov't wants to legalize cannabis, the need to add clemency for existing drug charges https://t.co/XLmyjJE2vq	Wed Apr 26 14:34:42 +0000 2017	True North Strong & Free 🇨🇦
857066095072518144	The amount of weed I smelled walking outside the lineup for the weekend concert, was concerning. It's still shocking to me that it's legal.	Wed Apr 26 02:57:35 +0000 2017	Winnipeg, Manitoba
857040185325887489	#Nanaimo marijuana producer likes legalization legislation. https://t.co/rU2w4I7y9m	Wed Apr 26 01:14:37 +0000 2017	YCD
856997069512482816	.@BillBlair says pardons for cannabis possesion charges can't be considered until after legalization &amp;new system of control in place #PnPcbc	Tue Apr 25 22:23:18 +0000 2017	Ottawa, Ontario, Canada
856971096809062400	Meanwhile, for Canadians heading to the U.S., having a marijuana arrest on your record can get you barred for life. https://t.co/XuWtSdQag3	Tue Apr 25 20:40:05 +0000 2017	Edmonton, AB
856941161579020288	After pot, legalize heroin Via @CDCofBC #opioid #pharma #paincontrol https://t.co/mGtthMIzlt	Tue Apr 25 18:41:08 +0000 2017	Vancouver, BC, Canada
856907581348085760	Why does @JustinTrudeau insist decriminalizing pot possession would legalize distribution? It just isn't true. https://t.co/Gg7V7gWgWd	Tue Apr 25 16:27:42 +0000 2017	Scarborough, Ontario
856839033393209344	@Pain_In_Grass I put 'legal' in scare quotes because there will still be criminal sanctions for some cannabis related activities.	Tue Apr 25 11:55:19 +0000 2017	Moscow, Russia
856838746569920512	@Pain_In_Grass Theoretically the Senate can veto a bill, but it rarely happens. https://t.co/BjU9ECzhdO So marijuana will be 'legal' in Canada.	Tue Apr 25 11:54:11 +0000 2017	Moscow, Russia
856684983154593792	Ah, to be a one percenter..."his father's resources, legal network and connections helped make the charge "go away," https://t.co/PBCFFNa7WI	Tue Apr 25 01:43:11 +0000 2017	Canada
856679320965828608	So PET used his legal connections to make sure there was one standard for his son, and another for everyone else? https://t.co/JNMCLmd27k	Tue Apr 25 01:20:41 +0000 2017	London, England
856676886247866369	@JustinTrudeau @JustinTrudeau is hoping Canadians are high when the 2019 election arrives. One reason to legalize marijuana	Tue Apr 25 01:11:00 +0000 2017	Oakville. Ontario Canada
856659087089573888	:high_voltage:️ “Justin Trudeau joined VICE to talk marijuana legalization” https://t.co/9IytO3nBrQ	Tue Apr 25 00:00:16 +0000 2017	Vancouver Canada
856643922885586944	Cannabis: a public health menace aid for opioid abusers?:high_voltage: Justin Trudeau joins VICE to talk marijuana legalization https://t.co/QzTUEnaqEA	Mon Apr 24 23:00:01 +0000 2017	Kitchener, Ontario
856633925132800001	The leftvis having trouble getting welfare recipients to vote. They're hoping this will do what pot legalization did for Trudeau. https://t.co/pHOOC97jkq	Mon Apr 24 22:20:17 +0000 2017	Harrow, Ontario
856583485275987969	For sure though, a LOT of stuff associated with "legal" marijuana will still be 'illegal' thus ensuring work for cops, crowns and prisons.	Mon Apr 24 18:59:52 +0000 2017	Moscow, Russia
856542910648426496	This should be read by anyone interested in legalization in Canada and how the process is unfolding. https://t.co/FiT614yKqL	Mon Apr 24 16:18:38 +0000 2017	Victoria BC
856534603800203266	Great talk regarding the regulation of Cannabis #RUTalksCannabis #Cannabis #Legalization #BillC45 https://t.co/4Enx6QSQE9	Mon Apr 24 15:45:37 +0000 2017	Toronto, Ontario
856370620912762882	@ipoliticsca What a great perspective on cannabis legalization- only missing o going medical need https://t.co/yOtYCESFAC	Mon Apr 24 04:54:01 +0000 2017	Toronto, ON
856332195752943616	@vicecanada @JustinTrudeau Court delays are letting violent criminals walk free, how does he justify the continued arrests of pot people when he plans to legalize?	Mon Apr 24 02:21:20 +0000 2017	Vancouver, B.C. Canada
856317591031296001	@AndreeaBelmont We need to send letters to put members of parliament telling them that we need legal dank weed for Twilight purposes	Mon Apr 24 01:23:17 +0000 2017	Yharnam
856277599663902720	Very sobering program on CBC about pot legalization in WA &amp; CO. God help us all.https://t.co/v81CHzyA6t	Sun Apr 23 22:44:23 +0000 2017	Mississauga, Ontario, Canada
856161464691949570	When weed is legal, weed ads are banned. While still illegal, are weed ads ok? Is @pattisonoutdoor offside? @JustinTrudeau? https://t.co/nRsxJEKaow	Sun Apr 23 15:02:54 +0000 2017	NYC and TO
855948083909214208	Damage Caused by Alcohol Can't Be Fixed :skull_and_crossbones:️ #DrunkDriving #Violence #HeartDisease :skull_and_crossbones:️ #legalize #marijuana #cannabis:seedling: https://t.co/BAwCNvXvZC	Sun Apr 23 00:55:00 +0000 2017	Victoria, BC
855928212391702529	Thanks for the #420 shout out 5440ontour You rock! #5440 #5440ontour #cannabis #legalize… https://t.co/6t6EyeuDkJ	Sat Apr 22 23:36:02 +0000 2017	Vancouver, BC
855896889295646720	Dr. Gail Beck: Legal age for #cannabis use should be higher, not lower https://t.co/mvo2eHMjg5 #pharma #hcldr	Sat Apr 22 21:31:34 +0000 2017	Vancouver, BC, Canada
855891299991527425	Yes @LouiseMensch don't call on us again ok? I know weed is legal now here in :Canada:, but with good conscience we can't supply you any more. https://t.co/tqgM4cdCH2	Sat Apr 22 21:09:22 +0000 2017	Toronto, ON, Canada
855889534621450241	@jessejane did you know that Canada :Canada: is making weed legal on July 1 in 2018	Sat Apr 22 21:02:21 +0000 2017	Toronto, ON, Canada
855780647956340738	@ManishaKrishnan specifically talking about that weed legalization article.	Sat Apr 22 13:49:40 +0000 2017	Toronto
855773967210164228	With #weed about to become legal in Canada, are you #cannabis curious? https://t.co/CWIPs3uFaY #cdnpoli	Sat Apr 22 13:23:07 +0000 2017	Stanstead, Quebec, Cana-tada!
855666868232835074	@onEarth_Cathy I don't know, they are making the sale of pot legal in Canada, and I'm still not persuaded :thinking_face:	Sat Apr 22 06:17:33 +0000 2017	#inshrinkinguniverse
855617593415270400	'So did they legalize weed yesterday or what' -Ken :face_with_tears_of_joy::face_with_tears_of_joy:	Sat Apr 22 03:01:45 +0000 2017	#inshrinkinguniverse
855514200034037760	Homegrown - Four20 Victoria 2017 #marijuana 420 #cannabis #legalize #decriminalize #bc #yyj @thegreenceiling https://t.co/7AUYKhgSEy	Fri Apr 21 20:10:54 +0000 2017	Victoria, BC
